,ANGPTL4,BCL11B,CACNB4,CAMK4,CHRM3,CP,DNALI1,EGR1,FGF14,GABRD,GFAP,GRAMD3,GREM2,GRIA3,ITPKB,KCNAB1,KCNIP2,KCNN3,LDB2,MCTP1,MMD,MYT1L,NETO2,PAK3,PENK,PRKCG,PRMT8,RFX4,SCN2B,SLC14A1,SLC7A2,SLC9A7,SYT17,TNC,TPBG
GSM1424114,-0.697549075938394,-3.1751362203064954,0.0012219283750433915,0.7805557546369354,0.6107254576710436,0.2984000940697649,0.3155328595606271,0.44928552043762554,1.0028758626405538,0.7108040043130828,-0.299414941140154,0.12652830327923098,0.36433650533285417,-0.22533922302034,-0.7645699783360485,1.3027558571254267,-1.5928933450188627,-0.34670021419755637,0.649143602812301,0.9842922019414293,0.3120376654174702,0.5126435980855828,0.20310178042315266,1.079377833614322,0.917063608235726,-1.2047796980406393,0.5814891956574417,0.16310692627479187,-1.1989695799497968,-0.22484089982898245,-0.8513713975275525,0.8724501014539103,0.8042686545280155,0.4537804642279115,0.6168497807789278
GSM1424115,-0.2130829842508871,-0.12096098980356672,-0.09031174445299736,0.0906986926977776,-0.07306192187545286,0.16763615508132398,0.36511025957112947,0.7231409113471429,0.23086393836507113,0.03914865998460012,-0.17373900686414834,1.073147511586498,-0.153457946576547,-1.2615931773478408,-0.1979389028068965,0.5362163634558131,-0.4207500093539422,1.7485090004911334,0.2735824354697128,-0.46252307947932125,0.45290892169467845,0.1977008884650759,-0.18065445417022244,0.23820895355115837,-0.2889989911438414,-0.790904609670801,-0.28400492573447506,0.5181038376541774,1.2613318211379452,0.004484530090278867,-0.3228386264502153,-0.24996072567442465,0.4591212895465715,0.4965685241368577,-0.47539909872239283
GSM1424116,-1.1088135264878876,1.1527902031574064,1.0716072027982046,1.3909960409720115,1.3672780607551316,-1.6142190718796148,-0.34872970847187357,1.1258621743468962,1.4278970960365698,1.0574697604342378,-1.4400200565263355,-0.4422986766851324,1.0608916057314945,0.675906012593339,-1.3800138734680296,1.8805186300577708,-0.8473573821191432,-0.8547029897256155,1.389434936625259,0.38835057760198843,1.0441751668796517,0.975730547086234,1.7707013178354807,1.2694228295365437,1.4497713601665083,-0.42307380111798215,0.7859295677671094,-1.4845067173073716,0.48528676615423316,-0.9453562096290317,-1.7151376496025552,3.1857833284329073,0.5689081530115742,-1.4742812649575558,0.6921870622978288
GSM1424117,-1.128607843526184,1.4250571400012473,0.5246432542873207,1.1372901284058337,1.060889541566006,-1.3398639887362127,-2.085200165152929,1.4595455700224922,1.53685070045143,1.0379143405478546,-1.7255578254361368,-0.4126893052830656,0.5004114630180053,-0.18555299614987808,-1.4050313263700978,1.3939314480837812,-1.0515271369507102,-0.26753981304060376,1.215606218775004,1.096697514313161,1.1569830795254787,0.9090364675050457,1.6846192391051793,1.369879738421503,1.405765391375925,-0.9567445031104057,0.9314070643908741,-1.1011096756497,0.24089220232026945,-0.7699438689765784,-1.0502240352008692,-0.24993955803255816,0.6781825198425989,-1.0472391588296313,0.7324044562964843
GSM1424118,-1.3160750987750962,1.1905084079484503,1.0463183202169646,0.8281224589523565,1.4056399983392114,-1.025564899316078,-0.20117454449906708,0.4367583596582697,1.471959220290919,1.5616072088817865,-1.22028776933697,-0.7938475288608842,0.5462144033452843,-0.16322968202718924,-1.1491692809372362,1.1865959708720328,-0.8104955908281181,-0.6435308015322561,1.3511070933066347,1.091101830051624,1.1082840511707128,0.864443462300025,1.055980003141166,1.0846567742537598,0.05810801633864193,-0.7151290534959336,0.8920914589678811,-1.341388317126247,0.26621717402892425,-1.1608126196623332,-1.1005780034657278,0.655798913842601,-0.49711268415773824,-1.3664803632929055,0.8461445931669018
GSM1424119,1.3733413076013257,0.18357604119891066,1.1880049511289943,0.3315119127339645,0.468934659433485,2.017096180409889,0.23464533401954238,-1.0688432966892754,0.7390356516688358,-0.0912515758873315,-0.22999431003966733,-0.013020937256997779,-0.0877188217841005,-1.4302325386364294,0.058935440929807965,-0.4721277312896312,-1.0504994680959605,0.5533779871687083,0.539149683595501,1.1017202898601748,-0.10865695968849967,0.5383373282680892,-0.1686884132670794,0.515734728834464,-0.5654171134394514,-1.3235337356960188,-0.4110589906260638,1.5428676268318107,-0.6387400760091436,0.836119624022209,1.1286396670134395,-1.2065165369575597,0.7768782585089217,0.019124340682838813,0.03890127232846605
GSM1424120,-1.0857467822168563,0.7230241519672513,0.6946433048852336,0.8785995221878724,1.0024342717185557,-1.001577706411152,0.6835680505230972,0.6260080200428955,0.9664457926296495,1.1706788884402843,-1.0418294308986986,-0.36314114404725056,-0.8372867996649466,-0.46040069320109195,-0.7704287152317727,0.27445952720822786,0.24722935184325523,0.3356601690512045,0.7332274464911953,-0.8292050370312792,0.9404177216019706,0.595665314225845,1.1494917788878467,0.717841595021152,1.5294469117488239,-0.5097071569719657,0.3652885116162628,-0.9971825210553563,2.400462053308443,-1.0050979588228621,-0.3868729074133231,1.464349603115216,0.6009585342402745,-1.8031120568607797,0.5805061321915288
GSM1424121,-0.8339470156500657,0.8124289756235016,0.8510744907632121,0.5426066671615192,0.34562238631466347,-0.8077994356685845,-1.1197911191529706,1.1745715463427426,0.6968655687749954,0.7040302322584723,-0.8060503419274626,0.8425421352271881,0.16096259888131792,-0.5157336275895087,-0.4891793806523843,0.9039576517867921,-0.821744629931803,0.466204968167241,0.798819221527761,0.5779220297742311,0.041495197692635995,0.42970238136134914,0.6155711425700442,0.5936424508877889,0.014394391035887648,-0.5449324547080175,0.274885624665291,-0.05990981998565889,0.1837312522331268,0.36303525007657433,-0.8086255940271552,0.11838333041960636,-0.3372527529703295,-0.18529346068879476,-0.004022187836164761
GSM1424122,-1.4629116777710451,1.4955897084268395,1.1507631754338181,0.793405877956283,0.7830683113783434,-1.0460217695327643,-0.365444198447424,1.0540490921362031,1.5607249799105083,1.432204644436999,-1.4289963768105292,-1.1043460672417658,0.788919997489377,0.31821811451160104,-1.7180031079872033,1.4881932508063007,-1.154274400917772,-1.2363605252977081,1.4186352200794143,1.083966398744766,1.0944234123632,1.0342596219393174,1.3811785037500048,1.2860236880414702,1.849732185644256,-1.2268255541924062,0.7273320088821729,-1.5972445983141652,0.0071720207262271195,-1.2750823982826465,-1.2607472008681149,-0.18472516267245986,-0.5128763158987918,-0.4479206623615681,0.8824669022794365
GSM1424123,1.6485856217887302,-0.14066269892373715,0.8150089634028909,0.9248324643794454,0.4685798739945221,1.071451655539116,-1.3083795467403239,-0.7978771655208705,0.6844282257985606,0.8926525371503555,-0.7244032517837512,-0.8263670824401856,0.3349004150640903,-0.8674393773645577,-0.5982917740479137,0.23411049612763074,-1.0437228475257134,-0.17212689987441548,0.6258179950718278,-0.3054232780359753,1.2718249552590946,0.6821704881325723,0.4818724177493598,0.7104674867025554,-0.5939854155024533,-0.645153744900915,0.5804542243463573,1.448178974956664,-0.6903157186994501,0.08820213600456829,-0.7906208714145082,0.16180709359805862,0.4798659995017655,-0.18868134579071533,0.28296021562750684
GSM1424124,-1.1949964122420873,1.4356900982443543,1.4678266370413682,1.77424803410974,1.5115102288345412,-1.127253158874202,-2.100250933951649,0.5832989625548954,1.3374716047061632,0.9360873948815178,-1.894231307132689,-0.5798804261993952,1.6603981457468033,0.22991015911433446,-1.8937476647593698,1.6630385989229675,-1.6474181522407603,-1.0188936262513508,1.49294455301723,1.409515410268045,2.480912940872408,0.9812110440362108,2.034297311299741,1.4911218886550386,1.704802441893385,-0.516224089647425,0.5291180951367793,-1.844312893708422,0.12012917248654194,-1.0223903540519692,-1.5357610670269002,0.17969412408292293,1.9359290856708873,-0.3860260215999323,1.1025457421004827
GSM1424125,-1.021185290678942,1.5355941338632875,0.7349120022464632,1.1280828908873233,1.0777775621394796,-0.7657550623378058,-0.6882413549498185,0.41499800896421724,1.5411648749679325,0.4828818055365955,-1.1824830925298029,-0.03459520328098394,0.7924270273638407,-0.01290748611572497,-0.8382752598879576,1.5408443740028277,-1.2088105893647862,-0.6509216941194677,1.1316254329405633,1.687370123837817,0.7738093394565991,0.8835981147802852,1.486938407990948,1.3265176271319596,0.6644073576878893,-1.175617789692498,0.34084949623150873,-0.1475922451333374,-1.1028665390909396,-0.5237047357909478,-0.6916232995721924,-0.28098604632492974,0.022342679203298393,-0.05353063208755169,0.7959139396697525
GSM1424126,-0.7439852555913984,1.4882925154932616,2.1011534638002627,1.0762362254708882,0.4900119320129025,-0.8872571079392111,-1.2623031596332794,0.8578319576328396,1.064952963225807,0.5176686814282289,-1.3968647429424295,0.372597082765723,-0.2429318760068357,-0.8387691524756534,-1.1625167737320399,1.473284315925995,-1.7490926690142956,-0.06854158256381473,1.0066293075907105,1.4277235203763639,1.8815460208369346,0.8951809868162999,1.5201705161839378,1.022980106815508,2.17428769696411,-1.091407891723069,0.1348211333249837,-0.05127226970211444,-0.119933950055994,-0.20946267087317721,-0.16297140056462395,-0.1183072214611835,-0.07251995582080488,1.3264872316221936,0.49432566430687674
GSM1424127,-0.997678803488404,0.3245938278436047,0.49367130230561274,0.7844590294238379,0.02465901307027382,-0.7879417217151264,-0.7011676778566,0.9965590068889484,0.7370424030366464,0.7210876070526826,-0.376885736248748,0.7529699036059473,0.2270391989856688,-0.7278254123674885,-0.6123181560599759,0.6145795828359975,-1.2993971937165791,-0.03406153582028293,0.82861719841532,1.1352872650000332,1.3431030141833498,0.5703676787783803,0.9586441416398269,0.816828820202421,0.6428625159880683,-0.983412998609478,0.00768402681454093,0.18234188601263174,-0.43266138546464444,-0.5381187941641943,-0.9550084142023401,-0.777689215140584,-1.0153941350718358,0.8775651775641664,0.3970093544011925
GSM1424128,-1.3078107906377499,1.6610660946528932,0.5622890457149036,1.2511272925343395,1.1762395130070493,-1.3213233459035856,0.06235878653913705,1.1318010231214317,1.3139569846069294,1.1658822352022937,-1.7263536237452641,-0.8857238279308985,0.5331718244114713,-0.08276857426711233,-1.5980674397755428,1.0051449088736175,-0.6141943421185141,-0.5784331635415958,1.156297060258451,0.8044757039393408,1.6006930769190448,0.9493569147169589,1.1308041277497294,1.1396771988100733,0.34601965043782906,-0.34645512616517715,0.9886509007575097,-0.13753170062916448,0.4755366520464013,-0.6125526797560191,-0.4995342106808444,1.089074674051357,1.8980888564526985,-1.1630190140333185,1.1658030937965986
GSM1424129,1.048605034888143,0.10956183994314116,-0.15841989186828584,-0.1586362323367238,-0.06138102785553222,1.3686479494609591,0.11951059421383096,-0.33002229414380546,-0.3525380534196339,0.05332766429517413,0.5715605384113066,0.7594890581332122,-0.3822115772631995,-0.28714382886311773,0.3661102534406283,-0.10614596135804927,-0.46133974642635556,0.8676395178280237,-0.13170347459423304,-0.14655318786657004,-0.332958483200736,-0.3896125265383329,-0.8358328661283174,-0.4395296418619908,-0.9174593478492541,-0.2172599738325455,-0.05572464083514057,0.944230659934545,-0.5030468242180863,0.4393716840891923,-0.1632813440701363,-0.3348373978178741,0.6634418689481636,0.46895443445155766,-1.4774340867883033
